Title,Location,Price,Rooms,Bathrooms,Size
5 BR Spacious Villa in Azaiba Nearby Amenities,"Azaiba, Muscat•","OMR 197,000Non Freehold",5,4,600 SQM
Two Bedroom Seaview Apartment at Mandarin Oriental Muscat,"Qurum, Muscat•","OMR 405,000Freehold",2,3,131 SQM
Villa for Sale (Garden) - Sea View,"Yiti, Muscat•","OMR 517,000Negotiable",4,6,506 SQM
Apartment for sale in Muscat- شقة للبيع في مسقط,"Yiti, Muscat•","OMR 87,000Negotiable",1,2,79 SQM
Courtyard Villa for Sale -  فيلا للبيع,"Yiti, Muscat•","OMR 238,000Negotiable",3,5,252 SQM
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"Al Khoud, Muscat•","OMR 150,000Non Freehold",3,4,768 SQM
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"Al Maabilah, Muscat•","OMR 120,000Non Freehold",6,6,408 SQM
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"Barka, Al Batinah•","OMR 350,000Negotiable","16,800 SQM",N/A,N/A
أرض للبيع او الاستثمار بناية سكنيه تجارية,"Al Buraimi, Al Buraimi•","OMR 250,000Negotiable",547 SQM,N/A,N/A
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,"Ghala, Muscat•",OMR 500Negotiable,"2,934 SQM",N/A,N/A
فيلا راقيه للبيع في الخوض السادسه,"Al Khoud, Muscat•","OMR 285,000Non Freehold",9,10,614 SQM
الأرض للبيع مساحه ٢١٠٨ م,"Barka, Al Batinah•","OMR 50,000","2,108 SQM",N/A,N/A
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah","Al Sifah, Muscat•","OMR 95,000Freehold",2,2,124 SQM
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in","Al Amarat, Muscat•","OMR 98,000Non Freehold",4,6,195 SQM
2Bedroom Lake View Apartment for Sale in Hawana Salalah,"Salalah, Dhofar•","OMR 85,000Freehold",2,2,120 SQM
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,"Salalah, Dhofar•","OMR 50,000Freehold",1,1,55 SQM
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,"Al Sifah, Muscat•","OMR 95,000Freehold",2,2,129 SQM
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City","Al Seeb, Muscat•","OMR 175,000Freehold",4,3,333 SQM
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,"Sultan Haitham City, Muscat•","OMR 53,922Freehold",1,1,67 SQM
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,"Al Sifah, Muscat•","OMR 73,000Negotiable",2,2,120 SQM
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"Al Khoud, Muscat•","OMR 150,000Non Freehold",3,4,768 SQM
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"Al Maabilah, Muscat•","OMR 120,000Non Freehold",6,6,408 SQM
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"Barka, Al Batinah•","OMR 350,000Negotiable","16,800 SQM",N/A,N/A
